关键词,7天展示量,流量占比,流量分布(自然),流量分布(广告),展示位置,自然排名,自然排名(页码-页内排名),抓取时间,sp广告排名,sp广告排名(页码-页内排名),抓取时间,关键词排名,周搜索量,Top3 点击份额,Top3 购买份额
gevi,76,0.06%,83%,17%,"自然,SP",73,P2-25,美03月30日 14:18,16,P2-4,美03月29日 17:40,326094,567,57.36%,66.66%
ge opal nugget ice maker,75,0.06%,80%,20%,"自然,SP,HR",17,P2-1,美03月30日 00:15,2,P1-2,美03月22日 21:15,804739,221,90.91%,100.00%
siloon ice makers countertop,75,0.06%,56%,44%,"自然,SP",16,P1-16,美03月29日 00:12,6,P1-6,美03月29日 00:12,824464,215,100.00%,99.99%
lg ice maker,74,0.06%,43%,57%,"自然,SP",24,P2-8,美03月30日 18:40,11,P2-5,美03月29日 22:18,550997,329,91.12%,0.00%
countertop ice maker pellet ice,71,0.06%,8%,92%,"自然,SP,HR",46,P3-14,美03月30日 17:03,6,P1-6,美03月29日 20:41,456490,400,70.77%,50.00%
italian ice maker,68,0.06%,0%,100%,"SP,HR",-,-,-,1,P1-1,美03月30日 15:38,389380,472,72.37%,0.00%
pebble ice machine,67,0.06%,84%,16%,"自然,SP,HR",20,P2-4,美03月30日 17:55,12,P2-6,美03月29日 21:33,497694,366,72.00%,100.00%
ge ice maker,63,0.05%,100%,0%,自然,27,P2-11,美03月30日 09:51,-,-,-,161535,1174,63.00%,60.00%
soft nugget ice maker,63,0.05%,71%,29%,"自然,SP,HR",17,P2-1,美03月30日 00:13,6,P1-6,美03月25日 20:53,800285,222,78.78%,100.00%
chick fil a ice maker,61,0.05%,82%,18%,"自然,SP,HR",21,P2-5,美03月30日 19:03,11,P2-5,美03月28日 22:05,592637,305,66.66%,100.00%
craft ice maker machine,60,0.05%,100%,0%,自然,57,P2-9,美03月30日 19:44,-,-,-,684608,262,85.18%,100.00%
personal chiller soft nugget ice maker,59,0.05%,63%,37%,"自然,SP,HR",29,P2-13,美03月30日 19:19,5,P1-5,美03月25日 19:36,628445,287,87.87%,0.00%
pebble ice,57,0.05%,82%,18%,"自然,SP",17,P2-1,美03月30日 19:40,11,P2-5,美03月29日 23:18,676572,265,56.67%,50.00%
ice ball maker,56,0.05%,0%,100%,SP,-,-,-,36,P3-12,美03月30日 18:23,33000,6251,26.92%,16.52%
sonic ice,55,0.05%,82%,18%,"自然,SP,HR",19,P2-3,美03月30日 19:37,11,P2-5,美03月28日 22:48,670048,268,73.91%,0.00%
hicozy nugget ice maker,55,0.05%,0%,100%,"SP,HR",-,-,-,12,P2-6,美03月27日 19:21,568159,319,95.19%,100.00%
vevor ice machine,54,0.05%,0%,100%,HR,-,-,-,-,-,-,225619,830,66.01%,75.00%
ice cube maker,52,0.04%,0%,100%,"自然,SP,HR",41,P3-9,美03月17日 13:23,1,P1-1,美03月30日 19:24,35457,5944,34.06%,36.99%
ge profile nugget ice maker,52,0.04%,100%,0%,"自然,SP,SOR",15,P1-15,美03月30日 00:00,2,P1-2,美03月22日 20:59,769358,232,100.00%,100.00%
undercounter nugget ice maker,51,0.04%,4%,96%,"自然,SP,HR",46,P3-14,美03月30日 18:21,6,P1-6,美03月26日 18:31,528986,343,97.50%,100.00%
icee machine,49,0.04%,0%,100%,"SP,HR",-,-,-,8,P2-2,美03月28日 15:21,31159,6506,68.63%,63.34%
chic fil a ice machine,49,0.04%,100%,0%,"自然,SP,HR",16,P1-16,美03月27日 21:26,6,P1-6,美03月21日 21:37,849414,208,65.22%,0.00%
ice machines countertop,48,0.04%,0%,100%,"自然,SP",53,P2-21,美03月21日 20:11,6,P1-6,美03月29日 23:12,661039,272,58.33%,50.00%
craft ice maker,48,0.04%,100%,0%,自然,96,P2-48,美03月30日 15:15,-,-,-,371470,495,65.00%,100.00%
cool maker,48,0.04%,0%,100%,"SP,OOR,SOR",-,-,-,12,P2-9,美03月29日 23:01,639012,282,69.69%,60.00%
ive maker,47,0.04%,30%,70%,"自然,HR",42,P3-10,美03月30日 16:39,-,-,-,437150,419,72.58%,100.00%
nugget,45,0.04%,0%,100%,"自然,SP,HR",41,P1-41,美03月11日 05:34,19,P2-7,美03月30日 19:33,48442,4712,41.17%,50.01%
tabletop ice maker machine,44,0.04%,100%,0%,自然,28,P2-12,美03月30日 18:30,-,-,-,538956,337,52.27%,71.43%
ice maker pebble,42,0.04%,62%,38%,"自然,SP",20,P2-4,美03月30日 20:08,6,P1-6,美03月26日 20:17,740084,241,75.75%,0.00%
maquina de hielo para casa,41,0.03%,0%,100%,SP,-,-,-,6,P1-6,美03月29日 16:42,294643,630,69.17%,66.67%
things that look like other things,41,0.03%,100%,0%,自然,84,P2-36,美03月28日 21:07,-,-,-,525646,346,71.43%,0.00%
nuggets ice makers countertop,40,0.03%,38%,63%,"自然,SP,HR",23,P2-7,美03月27日 21:27,17,P3-5,美03月27日 21:27,851637,208,64.51%,50.00%
dry ice pellets,39,0.03%,100%,0%,自然,20,P1-20,美03月30日 13:56,-,-,-,308588,600,78.21%,0.00%
best ice maker machine,39,0.03%,100%,0%,自然,20,P2-4,美03月30日 18:08,-,-,-,514005,354,86.21%,100.00%
dry ice maker,37,0.03%,100%,0%,"自然,SP",33,P3-1,美03月30日 13:35,2,P1-2,美03月08日 16:46,292285,635,60.39%,0.00%
counter top ice makers on sale,37,0.03%,27%,73%,"自然,SP,HR",41,P3-9,美03月30日 19:36,17,P3-5,美03月29日 22:36,58124,4038,30.84%,31.34%
self cleaning ice makers countertop,37,0.03%,0%,100%,"自然,SP",21,P2-5,美03月30日 16:02,6,P1-6,美03月29日 19:42,409106,448,67.74%,69.23%
hospital ice machine for home,37,0.03%,100%,0%,"自然,SP",21,P2-5,美03月29日 23:47,2,P1-2,美03月15日 20:03,742663,240,73.08%,100.00%
gameready ice machine,36,0.03%,0%,100%,"SP,HR",-,-,-,12,P1-12,美03月28日 15:27,300603,617,82.36%,0.00%
snow ice maker,36,0.03%,0%,100%,"SP,HR",-,-,-,2,P1-2,美03月27日 19:17,560053,323,80.64%,100.00%
ice maker that keeps ice frozen,35,0.03%,31%,69%,"自然,SP",38,P3-6,美03月29日 00:10,2,P1-2,美03月24日 20:59,821599,216,78.19%,100.00%
icee maker,35,0.03%,0%,100%,HR,-,-,-,-,-,-,417753,439,81.40%,100.00%
chewable ice maker,33,0.03%,100%,0%,"自然,SP",16,P1-16,美03月30日 00:02,1,P1-1,美03月13日 17:34,775985,229,64.29%,0.00%
counter ice maker,33,0.03%,100%,0%,自然,28,P2-12,美03月30日 11:17,-,-,-,197819,951,60.87%,64.28%
euhomy ice maker machine countertop,33,0.03%,100%,0%,自然,26,P2-10,美03月30日 13:19,-,-,-,280507,662,78.77%,99.99%
pellet ice machine,32,0.03%,100%,0%,"自然,SP,HR",17,P2-1,美03月29日 00:23,2,P1-2,美03月12日 22:08,840406,211,73.91%,50.00%
shave ice maker,31,0.03%,0%,100%,SP,-,-,-,2,P1-2,美03月28日 22:26,636538,283,81.25%,100.00%
countertop crushed ice maker,30,0.03%,93%,7%,"自然,SP,HR",17,P2-1,美03月27日 22:01,14,P3-2,美03月27日 22:01,929638,189,85.18%,100.00%
